                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3973,                 2.5851,                 3.6643,                 1.6436,                0.22287,                   0.54,                0.21189,                0.12598,                0.17133,                   0.42,                0.12796,                0.04739,                 1.2414,                 2.2427,                 6.3691,                 1.7032,             0.00020004,             0.00020004,             0.00020004
                      2,                  1.202,                 2.0004,                 2.3822,                 1.3928,                0.13766,                   0.38,                0.11935,                0.07066,                 0.1323,                   0.32,                0.09073,                0.03175,                 1.3289,                 1.8569,                 32.977,                 1.7974,             0.00041262,             0.00041262,             0.00041262
                      3,                 1.1716,                 1.9304,                 1.9187,                 1.3331,                0.00098,                   0.14,                0.00073,                0.00039,                 0.0007,                    0.1,                0.00047,                 0.0002,                 2.5185,                     27,                    inf,                 8.8821,             0.00062092,             0.00062092,             0.00062092
                      4,                 1.2235,                 1.9211,                 1.9802,                 1.3995,                  8e-05,                   0.02,                  4e-05,                  1e-05,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00082492,             0.00082492,             0.00082492
                      5,                 1.3026,                 1.8469,                 1.8452,                   1.43,                  8e-05,                   0.02,                  4e-05,                  1e-05,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0010246,              0.0010246,              0.0010246
                      6,                 1.5837,                 2.0048,                 1.9826,                 1.6186,                 0.0017,                   0.07,                 0.0009,                0.00025,                  9e-05,                   0.01,                  3e-05,                  1e-05,                 4.9599,                    nan,                    inf,                 304.07,              0.0012201,              0.0012201,              0.0012201
                      7,                 1.3926,                 1.9557,                 1.9992,                 1.5156,                0.00103,                   0.13,                0.00101,                0.00045,                0.00047,                   0.05,                0.00062,                0.00019,                 3.6435,                 899.28,                    inf,                 16.059,              0.0014112,              0.0014112,              0.0014112
                      8,                 1.5507,                 2.0621,                 2.0763,                 1.6185,                0.00063,                   0.14,                0.00054,                0.00018,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.3369,                 1.9543,                 1.8367,                 1.4692,                0.00207,                   0.01,                0.00071,                0.00018,                0.00083,                   0.01,                  5e-05,                  1e-05,                 3.7201,                 61.858,                 117.17,                 5.0173,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.3356,                  1.897,                 1.7353,                 1.4551,                0.00804,                   0.19,                 0.0048,                 0.0013,                0.00382,                   0.02,                0.00103,                 0.0003,                 3.2348,                 7.1875,                 115.16,                 4.6179,               0.001535,               0.001535,               0.001535
                     11,                 1.2894,                 1.9218,                 1.7109,                  1.449,                0.02475,                   0.26,                0.01814,                0.01052,                0.01707,                   0.17,                0.00683,                0.00168,                  1.517,                 4.3167,                 72.207,                 2.7414,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.2535,                 1.8299,                 1.5866,                 1.3938,                0.00475,                   0.06,                0.00512,                 0.0036,                0.00475,                   0.06,                0.00435,                0.00107,                 2.5254,                 6.4539,                    inf,                 3.7966,               0.001502,               0.001502,               0.001502
                     13,                 1.3842,                 1.9699,                 1.6216,                 1.4952,                0.01254,                   0.58,                0.01012,                0.00558,                0.01009,                   0.49,                0.00732,                0.00317,                 1.4879,                 2.4925,                 58.022,                 2.1604,              0.0014855,              0.0014855,              0.0014855
                     14,                 1.2555,                 1.6953,                 1.4861,                 1.4293,                0.47327,                   0.34,                0.36001,                0.21778,                0.45086,                   0.29,                0.26485,                0.13459,                 1.5142,                 2.6563,                 8.2751,                 2.2863,               0.001469,               0.001469,               0.001469
                     15,                 1.2366,                 1.8601,                 1.4955,                 1.3895,                0.26962,                   0.24,                0.20249,                0.11269,                0.45232,                   0.14,                0.13234,                 0.0362,                 1.7111,                 2.5488,                 3.5747,                 2.3836,              0.0014525,              0.0014525,              0.0014525
                     16,                 1.3217,                 1.9869,                 1.6259,                 1.4694,                0.36136,                    0.5,                0.39894,                0.25617,                0.27402,                   0.44,                 0.2515,                0.10303,                 1.3186,                 2.5982,                 2.6381,                 1.8686,               0.001436,               0.001436,               0.001436
                     17,                 1.1805,                 1.8324,                 1.5132,                 1.4052,                0.48179,                   0.63,                0.52574,                0.32368,                0.41987,                   0.54,                0.41994,                 0.1833,                 1.2498,                 2.4522,                 2.4298,                 1.8402,              0.0014195,              0.0014195,              0.0014195
                     18,                 1.1119,                 1.7102,                 1.4233,                 1.3116,                0.49411,                    0.5,                0.43452,                0.24453,                0.44531,                0.41125,                0.32771,                0.13046,                 1.3623,                  2.287,                 1.9683,                 1.8532,              0.0014029,              0.0014029,              0.0014029
                     19,                 1.1676,                 1.8264,                 1.4211,                 1.3228,                0.40051,                0.60253,                0.44216,                0.27422,                0.50762,                    0.4,                0.37144,                 0.1373,                 1.3398,                  1.905,                 1.8452,                 1.8555,              0.0013864,              0.0013864,              0.0013864
                     20,                 1.1884,                 1.9055,                 1.4632,                 1.3739,                0.40755,                0.33307,                0.35947,                 0.2364,                0.39379,                   0.31,                0.29981,                0.14294,                 1.3454,                 1.9225,                  2.604,                 1.8599,              0.0013699,              0.0013699,              0.0013699
                     21,                 1.1773,                 1.8486,                 1.4157,                 1.3493,                0.42035,                    0.5,                0.37104,                0.21467,                0.35553,                0.40688,                0.27136,                0.11139,                 1.5701,                 2.5346,                 2.2828,                 1.9842,              0.0013534,              0.0013534,              0.0013534
                     22,                 1.1383,                 1.8055,                 1.4213,                  1.353,                0.50683,                0.58057,                0.55354,                0.38938,                0.45282,                   0.52,                0.46515,                0.23238,                 1.1904,                 1.9561,                 1.6189,                 1.6615,              0.0013369,              0.0013369,              0.0013369
                     23,                 1.0783,                 1.7641,                  1.288,                 1.2851,                0.64464,                0.41184,                0.50518,                0.33361,                0.57371,                0.36105,                0.40572,                0.20326,                 1.3174,                  1.844,                 1.7703,                 1.8094,              0.0013204,              0.0013204,              0.0013204
                     24,                 1.1386,                 1.6563,                 1.3113,                 1.3514,                0.42375,                   0.56,                0.51338,                0.34851,                0.36409,                   0.49,                 0.4052,                0.20735,                 1.1979,                 1.6764,                 1.5872,                 1.6545,              0.0013039,              0.0013039,              0.0013039
                     25,                 1.0973,                 1.7452,                 1.3245,                 1.3047,                0.45807,                0.69228,                0.55847,                0.37357,                0.39117,                   0.57,                0.44654,                 0.2139,                 1.2027,                 1.6602,                 1.4187,                 1.6203,              0.0012874,              0.0012874,              0.0012874
                     26,                 1.0769,                  1.718,                  1.271,                 1.2796,                0.69196,                   0.64,                 0.6748,                0.46703,                0.63123,                0.54634,                0.53961,                0.27757,                 1.0977,                 1.5023,                 1.2905,                 1.4904,              0.0012709,              0.0012709,              0.0012709
                     27,                 1.0123,                 1.7185,                 1.2607,                 1.2747,                 0.6336,                0.60143,                0.61493,                0.44544,                0.60189,                   0.56,                0.53695,                0.26793,                 1.0755,                 1.5075,                 1.2992,                 1.4932,              0.0012544,              0.0012544,              0.0012544
                     28,                 1.0799,                 1.6683,                 1.3302,                 1.3153,                0.63378,                   0.66,                 0.7157,                0.49349,                0.60285,                   0.62,                0.64575,                0.33419,                 1.0447,                 1.4429,                 1.2104,                 1.4476,              0.0012379,              0.0012379,              0.0012379
                     29,                 1.0399,                 1.5824,                 1.2571,                 1.2729,                0.55144,                 0.7346,                0.71213,                0.51405,                0.79904,                   0.43,                0.57403,                0.30868,                 1.0059,                 1.5623,                 1.1801,                 1.3784,              0.0012214,              0.0012214,              0.0012214
                     30,                0.93587,                   1.53,                 1.1905,                  1.199,                0.62868,                   0.68,                0.69493,                0.48272,                0.61304,                0.59827,                0.61234,                 0.3083,                 1.1189,                 1.5007,                 1.0995,                 1.5308,              0.0012049,              0.0012049,              0.0012049
                     31,                0.96886,                 1.6001,                 1.1694,                 1.2383,                0.50639,                    0.7,                 0.6644,                0.47838,                0.52106,                0.60014,                0.57957,                0.32035,                 1.0116,                 1.4978,                 1.2211,                 1.4655,              0.0011884,              0.0011884,              0.0011884
                     32,                 1.0529,                 1.6284,                 1.1918,                 1.2487,                0.31333,                    0.6,                0.40269,                0.29497,                0.29423,                0.55878,                0.34948,                0.15892,                 1.0957,                 1.5872,                 1.7771,                 1.5025,              0.0011719,              0.0011719,              0.0011719
                     33,                0.98326,                  1.564,                  1.147,                 1.2144,                0.61757,                   0.79,                0.74537,                0.52277,                0.69979,                0.53908,                0.63345,                0.33039,                  1.091,                 1.5641,                0.99332,                  1.543,              0.0011554,              0.0011554,              0.0011554
                     34,                 1.0071,                 1.5736,                 1.1659,                 1.2322,                 0.6109,                0.72814,                0.73179,                0.51381,                0.77139,                 0.4839,                0.62058,                0.34059,                 1.0402,                 1.3771,                 1.0324,                 1.4443,              0.0011389,              0.0011389,              0.0011389
                     35,                 1.0019,                 1.5795,                 1.1352,                 1.2568,                0.57341,                0.73352,                0.72811,                0.49288,                0.60326,                0.52533,                0.54534,                0.27946,                 1.0404,                 1.4732,                 1.0402,                 1.4059,              0.0011224,              0.0011224,              0.0011224
                     36,                0.99228,                 1.5514,                 1.1256,                 1.2003,                0.70388,                    0.7,                0.72114,                0.49967,                0.65194,                0.67944,                0.64025,                0.31645,                   1.03,                 1.4577,                 1.1538,                 1.4645,              0.0011059,              0.0011059,              0.0011059
                     37,                0.94305,                 1.4677,                 1.1012,                 1.1857,                0.70418,                   0.64,                0.71453,                0.50678,                0.69384,                0.57919,                0.64015,                0.31885,                 1.0091,                 1.3789,                 1.1144,                 1.4138,              0.0010894,              0.0010894,              0.0010894
                     38,                0.93875,                 1.4789,                 1.1255,                 1.2154,                0.72592,                0.58194,                0.67587,                0.50548,                0.73419,                   0.56,                0.61663,                0.34318,                 1.0519,                 1.4793,                 1.1169,                 1.4597,              0.0010729,              0.0010729,              0.0010729
