                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3965,                  2.495,                 3.3194,                 1.5502,                0.30046,                    0.6,                0.29779,                 0.1826,                0.24516,                   0.48,                0.20539,                0.07311,                 1.1393,                 1.7136,                 3.9188,                  1.547,             0.00020004,             0.00020004,             0.00020004
                      2,                 1.1392,                 1.7931,                 1.9933,                 1.3163,                0.11894,                   0.38,                0.07991,                0.03415,                0.12447,                   0.34,                0.09154,                0.03095,                 1.3175,                 1.8796,                 22.102,                 1.7218,             0.00041262,             0.00041262,             0.00041262
                      3,                 1.0829,                 1.8413,                  1.755,                 1.2692,                0.16064,                   0.61,                0.23259,                0.14697,                0.13203,                   0.49,                0.15477,                 0.0766,                 1.2847,                 2.0713,                 68.236,                 1.8081,             0.00062092,             0.00062092,             0.00062092
                      4,                 1.2171,                 1.7768,                  1.818,                 1.3853,                0.01581,                   0.16,                0.00893,                0.00336,                0.01357,                   0.12,                0.00527,                0.00207,                 2.5283,                 7.3582,                 33.973,                 3.1754,             0.00082492,             0.00082492,             0.00082492
                      5,                 1.1842,                 1.7902,                 1.6678,                 1.3543,                  6e-05,                   0.01,                  3e-05,                  2e-05,                  6e-05,                   0.01,                  3e-05,                  2e-05,                 3.1219,                 45.282,                    inf,                 7.7084,              0.0010246,              0.0010246,              0.0010246
                      6,                 1.2808,                 1.8416,                 1.6848,                   1.43,                0.01928,                   0.34,                 0.0207,                0.01089,                0.01152,                    0.2,                0.01245,                0.00394,                 2.0836,                 27.486,                    nan,                 3.4369,              0.0012201,              0.0012201,              0.0012201
                      7,                 1.2731,                  1.842,                 1.6204,                 1.4453,                0.00244,                   0.34,                0.00185,                0.00093,                0.00116,                   0.17,                0.00067,                0.00025,                 2.3123,                 44.128,                    inf,                 4.7915,              0.0014112,              0.0014112,              0.0014112
                      8,                 1.3203,                 1.9208,                 1.6598,                 1.4603,                0.11104,                   0.22,                0.12053,                0.05602,                0.08525,                   0.17,                0.08025,                0.03056,                 2.4872,                 4.4518,                 21.111,                 3.4634,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.3163,                 1.8285,                 1.6621,                 1.4459,                0.23868,                   0.17,                0.12347,                0.05555,                0.21086,                   0.16,                0.09635,                0.03083,                 2.4047,                 5.3158,                  8.982,                 3.1568,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.3631,                 1.8692,                 1.6538,                 1.4392,                0.16162,                   0.28,                0.11458,                0.06695,                0.14784,                   0.19,                0.06626,                 0.0242,                 1.6971,                 3.4151,                  7.452,                 2.2515,               0.001535,               0.001535,               0.001535
                     11,                 1.2178,                  1.844,                 1.5709,                 1.4048,                0.28776,                   0.27,                0.19174,                0.09404,                0.17806,                   0.23,                0.12009,                 0.0479,                 2.0252,                  4.024,                 6.0442,                 2.6239,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.1854,                 1.7378,                 1.4651,                 1.3393,                0.21309,                   0.46,                 0.2198,                0.13475,                0.16471,                    0.4,                 0.1605,                0.07317,                 1.4052,                 2.5669,                 9.2368,                 2.1128,               0.001502,               0.001502,               0.001502
                     13,                 1.2228,                 1.8535,                 1.5082,                 1.4132,                0.55221,                0.32916,                0.35284,                 0.2275,                0.48151,                0.28171,                0.29817,                 0.1619,                 1.4857,                 2.4664,                 4.0334,                 1.9598,              0.0014855,              0.0014855,              0.0014855
                     14,                  1.138,                 1.5617,                 1.3475,                 1.3539,                0.61016,                   0.33,                0.39373,                0.25797,                0.52206,                   0.33,                0.35593,                0.18934,                  1.471,                 2.3078,                 3.2059,                 2.0074,               0.001469,               0.001469,               0.001469
                     15,                 1.1682,                 1.7208,                 1.3435,                 1.3658,                0.61637,                0.48473,                0.53505,                0.33816,                0.53714,                   0.45,                0.45892,                0.21052,                 1.4797,                 1.8455,                 1.7021,                 1.9363,              0.0014525,              0.0014525,              0.0014525
                     16,                 1.1934,                  1.846,                 1.4414,                 1.3999,                0.50144,                   0.53,                 0.4911,                0.31259,                0.39541,                   0.44,                0.37809,                0.16829,                 1.3386,                 2.0875,                 1.9797,                  1.852,               0.001436,               0.001436,               0.001436
                     17,                 1.1618,                 1.7621,                 1.3992,                 1.3809,                0.63587,                   0.51,                0.54476,                0.37177,                0.58228,                0.43881,                0.45143,                0.20704,                  1.271,                 1.8033,                 1.6125,                 1.7238,              0.0014195,              0.0014195,              0.0014195
                     18,                 1.0467,                  1.634,                 1.2437,                 1.2679,                0.49311,                0.46188,                0.47385,                0.29699,                0.44124,                   0.41,                 0.3973,                   0.18,                 1.3608,                 1.7922,                 1.5603,                 1.8585,              0.0014029,              0.0014029,              0.0014029
                     19,                 1.1182,                 1.6677,                 1.3378,                 1.3189,                0.63317,                0.52393,                0.53321,                0.32736,                0.57188,                 0.4334,                0.40535,                0.18954,                 1.2806,                 1.9186,                 1.6287,                 1.7685,              0.0013864,              0.0013864,              0.0013864
                     20,                 1.1355,                 1.7784,                 1.3886,                 1.3383,                0.64241,                0.48118,                0.55982,                0.35446,                0.60905,                 0.4473,                0.48505,                0.24742,                 1.2692,                 1.9737,                  1.614,                  1.823,              0.0013699,              0.0013699,              0.0013699
                     21,                 1.1353,                 1.7534,                 1.3384,                 1.3202,                0.62037,                   0.56,                0.62638,                0.43161,                0.59907,                0.46168,                0.45797,                0.20814,                 1.1202,                  2.137,                 1.4892,                 1.5188,              0.0013534,              0.0013534,              0.0013534
