                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5595,                  2.682,                 3.9564,                 1.5831,                0.19277,                   0.23,                0.17136,                 0.0907,                0.17079,                   0.25,                0.12954,                0.05213,                 1.3822,                 1.6188,                 4.3015,                 1.4928,             0.00020004,             0.00020004,             0.00020004
                      2,                 1.2387,                 1.8917,                 2.2004,                 1.2765,                0.41986,                0.38901,                0.31868,                0.17498,                0.30611,                0.34237,                 0.2246,                0.08814,                 1.3297,                 1.6643,                 3.9966,                 1.4829,             0.00041262,             0.00041262,             0.00041262
                      3,                 1.1413,                  1.824,                 1.8423,                 1.1674,                0.45881,                   0.29,                0.35255,                0.21951,                0.44949,                   0.28,                0.28602,                0.10447,                  1.559,                 2.3647,                 3.2022,                 1.6323,             0.00062092,             0.00062092,             0.00062092
                      4,                 1.1228,                 1.7434,                 1.7705,                 1.1705,                0.07815,                    0.2,                 0.0757,                0.03918,                0.06606,                    0.2,                0.03886,                0.01087,                 2.0232,                 3.4982,                  6.427,                 2.5194,             0.00082492,             0.00082492,             0.00082492
                      5,                 1.1544,                  1.714,                 1.6183,                 1.1752,                0.11834,                   0.34,                 0.0828,                0.03794,                0.09185,                   0.26,                0.05006,                0.02003,                 1.5984,                 2.7374,                 22.844,                 1.8564,              0.0010246,              0.0010246,              0.0010246
                      6,                 1.2186,                 1.7594,                 1.6608,                 1.2478,                0.14651,                    0.2,                0.10137,                0.05293,                0.11997,                   0.14,                 0.0675,                0.02656,                 2.1913,                 3.7035,                 9.2941,                 2.0903,              0.0012201,              0.0012201,              0.0012201
                      7,                  1.219,                 1.7354,                 1.5575,                 1.2755,                 0.0515,                    0.1,                0.00996,                0.00279,                0.02197,                   0.08,                0.00506,                0.00136,                 3.4181,                 5.4987,                 5.0793,                 3.4694,              0.0014112,              0.0014112,              0.0014112
                      8,                 1.2683,                 1.7913,                 1.7192,                 1.2731,                0.45085,                   0.01,                0.01073,                0.00742,                 0.0011,                    0.1,                0.00076,                0.00024,                 2.7298,                 6.6428,                 4.9812,                 2.8294,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.1869,                 1.7224,                 1.5735,                 1.2176,                 0.3579,                   0.32,                0.22093,                0.11298,                 0.2791,                0.23524,                0.14953,                0.05216,                 2.1266,                 3.4994,                 3.0036,                 2.2071,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.2594,                 1.7452,                 1.5291,                 1.2459,                 0.3965,                   0.28,                 0.2323,                 0.1194,                0.20812,                   0.14,                0.07162,                 0.0258,                 2.0359,                 5.0502,                 3.1564,                 1.9371,               0.001535,               0.001535,               0.001535
